นิติบุคคลจัดตั้งเดือนกุมภาพันธ์  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์เดิม,ที่ตั้งสำนักงานใหญ่
"2,089",0103558003429,หจ.เวิร์คคูณสาม,9/2/2558," 25,000 ",ประกอบกิจการบริการรับจัดการด้านฝึกอบรม สัมมนา หรือการจัดงานเลี้ยงรับรองด้านธุรกิจหรืองานเลี้ยงรื่นเร,100/84 หมู่บ้านลดาวัลย์-สุขุมวิท ถนนเฉลิมพระเกียรติ ร.9  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
"2,090",0103558004395,หจ.บัญชีเพียงพอ,19/2/2558," 20,000 ",ประกอบกิจการเกี่ยวกับบัญชี การทำบัญชีและการตรวจสอบบัญชี ให้คำปรึกษา,335 ซอยรัชดานิเวศน์ ถนนประชาราษฎร์บำเพ็ญ  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
"2,091",0103558004484,หจ.ไทย ยูนิเวอร์แซล,20/2/2558," 20,000 ",ให้คำปรึกษาและแนะแนวแก่นักเรียน,57/9 ถนนเสนานิคม 1(ม.เสนานิคมนิเวศน์โครงการ 1)  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
"2,092",0103558004506,หจ.วีโค้ช,20/2/2558," 20,000 ",เตรียมความพร้อมในองค์กรหรือกลุ่มผู้สนใจ,57/9 ถนนเสนานิคม 1  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
"2,093",0103558002767,หจ.สำนักงาน พีจี,3/2/2558," 10,000 ",ประกอบกิจการ บริการด้านกฎหมาย บัญชี,348 ซอยเปรมสมบัติ ถนนประชาสงเคราะห์  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
"2,094",0103558002775,หจ.สำนักงาน เอทีเอ,3/2/2558," 10,000 ",ประกอบกิจการให้คำปรึกษา อบรมและบริการ ด้านบัญชี กฎหมาย การเงิน,348 ซอยเปรมสมบัติ ถนนประชาสงเคราะห์  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
"2,095",0103558002783,หจ.สำนักงานบัญชี ไพบูลย์ และเพื่อน,3/2/2558," 10,000 ",ประกอบกิจการให้คำปรึกษา อบรมและบริการ ด้านบัญชี กฎหมาย การเงิน,348 ซอยเปรมสมบัติ ถนนประชาสงเคราะห์  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
"2,096",0103558004522,หจ.เอส แอนด์ ซี (2015),20/2/2558," 10,000 ",จัดทำบัญชี ตรวจสอบบัญชี ให้คำปรึกษาทางด้านบัญชีและภาษีอากร,25/417 ซอยอินทามระ 2 ถนนสุทธิสารวินิจฉัย  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
"2,097",0105558031033,บจ.ซีเอ็นเค โฮลดิ้งส์ จำกัด,18/2/2558," 10,000 ",ประกอบกิจการซื้อขายและพัฒนาอสังหาริมทรัพย์,901 อาคารบี.ซี.บิลดิ้ง ชั้นที่ 7 ถนนมหาจักร  แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100
"2,098",0105558025777,บจ.บูทิค พีเอส3 โฮลดิ้งส์ จำกัด,10/2/2558," 10,000 ",ประกอบกิจการให้เช่า ให้บริการอสังหาริมทรัพย์ และให้บริการสาธารณูปโภค,170/67 อาคารโอเชี่ยนทาวเวอร์ 1 ชั้น 21 ซอยสุขุมวิท 16 (สามมิตร) ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
"2,099",0105558025793,บจ.บูทิค ป่าตอง สาย3 โฮลดิ้งส์ จำกัด,10/2/2558," 10,000 ",ประกอบกิจการให้เช่า ให้บริการอสังหาริมทรัพย์ และให้บริการสาธารณูปโภค,170/67 อาคารโอเชี่ยน ทาวเวอร์ 1 ชั้นที่ 21 ซอยสุขุมวิท 16 (สามมิตร) ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
"2,100",0105558034211,บจ.เอ็ดแอกซิส จำกัด,23/2/2558," 10,000 ",บริการเทคโนโลยีสารสนเทศและคอมพิวเตอร์,358/29 ซอยสุขุมวิท 55 (ทองหล่อ)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
