นิติบุคคลจัดตั้งเดือนธันวาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
95,0115558023863,บจ.ศ.รวยรุ่งเรืองล่ำซำ จำกัด,15/12/2558," 1,000,000 ",รับจ้างถมดิน บดอัด ปรับพื้นที่ จัดสรรที่ดิน,313/4 หมู่ที่ 5  ต.ศีรษะจรเข้ใหญ่ อ.บางเสาธง จ.สมุทรปราการ 10540
96,0115558023227,บจ.โมเดิร์นคิท เซอร์วิส จำกัด,1/12/2558," 1,000,000 ",ประกอบกิจการบริการติดตั้ง รื้อถอน กระเช้าไฟฟ้า,79/8 หมู่ที่ 19  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540
97,0115558023944,บจ.เอ็นซีเอ็น พาวเวอร์ จำกัด,17/12/2558," 1,000,000 ",ประกอบกิจการให้บริการติดตั้ง ซ่อมแซม บำรุงรักษา ตรวจสอบ งานระบบต่างๆ เช่นระบบไฟฟ้า ระบบแอร์ระบบประปา,444/203 หมู่บ้านเดอะแพลนท์ บางนา หมู่ที่ 12  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540
98,0115558023251,บจ.พี เอ็น พี เอนจิเนียร์ จำกัด,1/12/2558," 1,000,000 ",ประกอบกิจการติดตั้งซ่อมแซ่ม ระบบประปา ปรับอากาศ สุขาภิบาล ดับเพลิง สื่อสาร,108/83 หมู่ที่ 13  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540
99,0115558023634,บจ.สิริภาส เทคโนโลยี คอร์ปอเรชั่น จำกัด,11/12/2558," 1,000,000 ",ประกอบกิจการรับเหมา ติดตั้ง ดูแลรักษา ระบบแอร์ น้ำประปา,14/225 หมู่ที่ 8  ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ 10540
100,0115558024321,บจ.พรทิพย์ชุมพล กิบบ์ จำกัด,25/12/2558," 1,000,000 ",ประกอบกิจการนำเข้า ส่งออก ซึ่งสินค้าตามที่กำหนดไว้ในวัตถุประสงค์ สินค้าอุปโภคบริโภคทุกชนิด,39/23 หมู่ที่ 11 ถนนศรีนครินทร์  ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540
101,0115558023308,บจ.คังโปร จำกัด,2/12/2558," 1,000,000 ",ให้บริการเกี่ยวกับการจำหน่ายอุปกรณ์กอล์ฟ,55/33 หมู่ที่ 15  ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10540
102,0115558023880,บจ.เพียวอะเซพติก ซิสเต็ม จำกัด,16/12/2558," 1,000,000 ",นำเข้า ซื้อ จำหน่าย เครื่องจักรด้านอุตสาหกรรมอาหาร อะไหล่ ซ่อมเครื่องจักร,63/91 หมู่ที่ 10  ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ 10540
103,0115558023839,บจ.เอสวี อินเตอร์ โกลบอลเม้นท์ จำกัด,15/12/2558," 1,000,000 ",จำหน่ายอุปกรณ์ เครื่องมืออิเล็คทรอนิกส์ที่ใช้ในงานอุตสาหกรรมและสำนักงานสร้างและดัดแปลงแก้ไข อุปกรณ์เ,132/649 หมู่ที่ 2 ถนนเทพารักษ์  ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10540
104,0115558023707,บจ.เอบีทูเอ็ม เซอร์วิสแอนด์ซัพพลาย จำกัด,14/12/2558," 1,000,000 ",จำหน่ายเครื่องใช้สำนักงานและสินค้าตกแต่งสำนักงานทุกชนิด,92/68 หมู่บ้านพฤกษาปูริ หมู่ที่ 12 ถนนหนามแดง  ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540
105,0115558023341,บจ.นิวโปรท็อปส์สแคฟโฟลดิง จำกัด,2/12/2558," 1,000,000 ",การขายเครื่องมือ เครื่องใช้ อุปกรณ์ในการก่อสร้าง เครื่องจักร เครื่องยนต์,99/428 หมู่ที่ 1  ต.ศีรษะจรเข้น้อย อ.บางเสาธง จ.สมุทรปราการ 10540
106,0113558006509,หจ.เอเอ็นพี ควอลิตี้ ซัพพลาย,17/12/2558," 1,000,000 ",ประกอบกิจการ ซื้อมาขายไป สินค้าในโรงงานอุตสาหกรรม ประเภท เคมีภัณฑ์ และอุปกรณ์ต่างๆ,40/120 หมู่ที่ 10  ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540
107,0113558006525,หจ.ปัญญาเนตร ทรานสปอร์ต,22/12/2558," 1,000,000 ",ขนส่งและขนถ่ายสินค้าทั้งทางบก ทางน้ำ ทางอากาศ ทั้งในและนอกประเทศ,199/195 หมู่ที่ 5  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540
108,0115558023847,บจ.ออล โพสต์ เซอร์วิส จำกัด,15/12/2558," 1,000,000 ",ประกอบกิจการให้บริการไปรณีย์ทุกประเภท,48/39 หมู่ที่ 8  ต.ราชาเทวะ อ.บางพลี จ.สมุทรปราการ 10540
109,0115558023901,บจ.สวีทตี้(ไทยแลนด์) จำกัด,16/12/2558," 1,000,000 ",บริการให้ที่พัก โรงแรม รีสอร์ท,1/44 หมู่ที่ 20  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540
110,0115558023791,บจ.มินิบาร์ แฟรนไชส์ จำกัด,14/12/2558," 1,000,000 ",จำหน่าย อาหารสด อาหารปรุงสุก อาหารว่างทุกชนิด,120/114 หมู่ที่ 3  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540
111,0115558023430,บจ.10 บิต เดเวลอปเมนต์ จำกัด,3/12/2558," 1,000,000 ",ประกอบกิจการผลิตและจำหน่ายซอร์ฟแวร์,115/20 หมู่ที่ 8  ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540
